local_time (IST),state,city,station_name,id,latitude,longitude,AT (degC),RH (%),PM2_5 (ug/m3),PM10 (ug/m3),CO2 (PPM)
28/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,27.7,39.07,37.43,130.12,406.35
28/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,27.41,41.25,46.11,97.2,407.0
28/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,30.93,34.06,42.33,141.82,405.56
28/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,29.51,39.01,46.63,108.02,406.77
28/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,34.92,28.09,39.56,155.22,405.82
28/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,32.53,33.22,43.18,123.92,406.01
28/03/2025 10:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,37.98,22.66,41.43,138.88,421.54
28/03/2025 10:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,35.79,26.24,38.76,109.21,406.0
28/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,41.14,17.73,24.83,100.18,404.13
28/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,38.6,21.77,32.08,94.74,405.44
28/03/2025 12:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,42.7,16.36,22.46,69.18,404.0
28/03/2025 12:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,40.01,20.36,23.81,71.11,405.08
28/03/2025 13:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,43.77,15.98,17.17,60.77,415.71
28/03/2025 13:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,41.12,19.64,20.02,70.87,405.0
28/03/2025 14:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,44.62,15.9,15.76,56.66,406.54
28/03/2025 14:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,41.58,19.71,19.19,64.29,405.04
28/03/2025 15:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,43.48,16.73,14.16,46.67,404.0
28/03/2025 15:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,41.74,19.94,21.89,63.88,414.39
28/03/2025 16:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,41.49,18.43,18.68,91.42,404.0
28/03/2025 16:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,40.81,20.83,20.47,265.38,405.54
28/03/2025 17:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,39.5,21.01,21.32,66.73,424.6
28/03/2025 17:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,38.45,23.96,22.37,124.93,405.91
28/03/2025 18:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,36.73,25.01,28.08,65.66,404.68
28/03/2025 18:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,35.74,27.91,26.05,129.48,406.0
28/03/2025 19:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,34.7,28.16,36.02,88.67,405.0
28/03/2025 19:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,34.22,31.0,34.56,116.03,406.02
28/03/2025 20:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,33.23,30.33,42.87,131.46,405.0
